"symbol","company_name","challenge_name","ticker","exchange","quote_currency","currency","quote_scale","sector","industry","challenge_sector","market_cap","market_cap_currency","market_cap_date","market_cap_date_basis","market_cap_precision","retrieved_date","listing_status","flags","notes","alternative_symbols","source_row","quote_url","listing_source_url","classification_source_url","market_cap_source_url","supplemental_source_url"
"MMM","3M Company","3M Company","MMM","NYSE","USD","USD","1","Industrials","Conglomerates","Industrie","83882254336","USD","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","company matched to selected lookup listing","","","","2","https://finance.yahoo.com/quote/MMM/","https://finance.yahoo.com/quote/MMM/","https://finance.yahoo.com/quote/MMM/","https://finance.yahoo.com/quote/MMM/",""
"AOS","A. O. Smith Corporation","AO Smith Corp","AOS","NYSE","USD","USD","1","Industrials","Specialty Industrial Machinery","Matériaux","7731838976","USD","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","company matched to selected lookup listing","","","","52","https://finance.yahoo.com/quote/AOS/","https://finance.yahoo.com/quote/AOS/","https://query2.finance.yahoo.com/v1/finance/search?q=AOS&quotesCount=3&newsCount=0","https://finance.yahoo.com/quote/AOS/",""
"MAERSK-B.CO","A.P. Møller - Mærsk A/S","A.P.MOLLER-MAERSK A/S","MAERSK B","Nasdaq Copenhagen","DKK","DKK","1","Industrials","Marine Shipping","Industrie","323612246016","DKK","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","share class not confirmed","share-class","B shares selected; challenge share class not confirmed.","","3","https://finance.yahoo.com/quote/MAERSK-B.CO/","https://finance.yahoo.com/quote/MAERSK-B.CO/","https://finance.yahoo.com/quote/MAERSK-B.CO/","https://finance.yahoo.com/quote/MAERSK-B.CO/",""
"AALB.AS","Aalberts N.V.","AALBERTS N.V.","AALB","Euronext Amsterdam","EUR","EUR","1","Industrials","Specialty Industrial Machinery","Industrie","4305856000","EUR","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","company matched to selected lookup listing","","","","4","https://finance.yahoo.com/quote/AALB.AS/","https://finance.yahoo.com/quote/AALB.AS/","https://query2.finance.yahoo.com/v1/finance/search?q=AALBERTS+N.V.&quotesCount=8&newsCount=0","https://finance.yahoo.com/quote/AALB.AS/",""
"ABBN.SW","ABB Ltd","ABB LTD.","ABBN","SIX Swiss Exchange","CHF","CHF","1","Industrials","Electrical Equipment & Parts","Industrie","141749518336","CHF","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","company matched to selected lookup listing","","","","6","https://finance.yahoo.com/quote/ABBN.SW/","https://finance.yahoo.com/quote/ABBN.SW/","https://finance.yahoo.com/quote/ABBN.SW/","https://finance.yahoo.com/quote/ABBN.SW/",""
"ABT","Abbott Laboratories","Abbott Laboratories","ABT","NYSE","USD","USD","1","Healthcare","Medical Devices","Soins de santé","177122033664","USD","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","company matched to selected lookup listing","","","","7","https://finance.yahoo.com/quote/ABT/","https://finance.yahoo.com/quote/ABT/","https://finance.yahoo.com/quote/ABT/","https://finance.yahoo.com/quote/ABT/",""
"ABBV","AbbVie Inc.","ABBVIE","ABBV","NYSE","USD","USD","1","Healthcare","Drug Manufacturers - General","Soins de santé","463885991936","USD","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","company matched to selected lookup listing","","","","8","https://finance.yahoo.com/quote/ABBV/","https://finance.yahoo.com/quote/ABBV/","https://finance.yahoo.com/quote/ABBV/","https://finance.yahoo.com/quote/ABBV/",""
"ABN.AS","ABN AMRO Bank N.V.","ABN AMRO BANK N.V.","ABN","Euronext Amsterdam","EUR","EUR","1","Financial Services","Banks — Diversified","Finance","35343761408","EUR","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","company matched to selected lookup listing","","","","9","https://finance.yahoo.com/quote/ABN.AS/","https://finance.yahoo.com/quote/ABN.AS/","https://query2.finance.yahoo.com/v1/finance/search?q=ABN+AMRO+BANK+N.V.&quotesCount=8&newsCount=0","https://finance.yahoo.com/quote/ABN.AS/",""
"ACN","Accenture plc","Accenture PLC","ACN","NYSE","USD","USD","1","Technology","Information Technology Services","IT","116048699392","USD","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","company matched to selected lookup listing","","","","10","https://finance.yahoo.com/quote/ACN/","https://finance.yahoo.com/quote/ACN/","https://finance.yahoo.com/quote/ACN/","https://finance.yahoo.com/quote/ACN/",""
"AC.PA","Accor SA","ACCOR","AC","Euronext Paris","EUR","EUR","1","Consumer Cyclical","Lodging","Consommation discrétionnaire","10460667904","EUR","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","company matched to selected lookup listing","","","","11","https://finance.yahoo.com/quote/AC.PA/","https://finance.yahoo.com/quote/AC.PA/","https://finance.yahoo.com/quote/AC.PA/","https://finance.yahoo.com/quote/AC.PA/",""
"AXS.AS","Accsys Technologies PLC","ACCSYS TECHNOLOGIES PLC","AXS","Euronext Amsterdam","EUR","EUR","1","Basic Materials","Lumber & Wood Production","Matériaux","193020000","EUR","2026-09-16","retrieval date of daily exchange list","rounded source display","2026-09-16","company matched to selected lookup listing","rounded-cap","","","12","https://stockanalysis.com/quote/ams/AXS/","https://query2.finance.yahoo.com/v8/finance/chart/AXS.AS?interval=1d&range=1d","https://query2.finance.yahoo.com/v1/finance/search?q=ACCSYS+TECHNOLOGIES+PLC&quotesCount=8&newsCount=0","https://stockanalysis.com/list/euronext-amsterdam/",""
"ACKB.BR","Ackermans & Van Haaren NV","ACKERMANS V.HAAREN","ACKB","Euronext Brussels","EUR","EUR","1","Industrials","Engineering & Construction","Finance","8923883520","EUR","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","company matched to selected lookup listing","","","","13","https://finance.yahoo.com/quote/ACKB.BR/","https://finance.yahoo.com/quote/ACKB.BR/","https://finance.yahoo.com/quote/ACKB.BR/","https://finance.yahoo.com/quote/ACKB.BR/",""
"ACOMO.AS","Acomo N.V.","ACOMO N.V.","ACOMO","Euronext Amsterdam","EUR","EUR","1","Consumer Defensive","Food Distribution","Biens de consommation courants","692085632","EUR","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","company matched to selected lookup listing","","","","14","https://finance.yahoo.com/quote/ACOMO.AS/","https://finance.yahoo.com/quote/ACOMO.AS/","https://query2.finance.yahoo.com/v1/finance/search?q=ACOMO+N.V.&quotesCount=8&newsCount=0","https://finance.yahoo.com/quote/ACOMO.AS/",""
"ADEN.SW","Adecco Group AG","ADECCO GROUP AG","ADEN","SIX Swiss Exchange","CHF","CHF","1","Industrials","Staffing & Employment Services","Industrie","4107730432","CHF","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","company matched to selected lookup listing","","","","15","https://finance.yahoo.com/quote/ADEN.SW/","https://finance.yahoo.com/quote/ADEN.SW/","https://query2.finance.yahoo.com/v1/finance/search?q=ADECCO+GROUP+AG&quotesCount=8&newsCount=0","https://finance.yahoo.com/quote/ADEN.SW/",""
"ADS.DE","adidas AG","ADIDAS AG","ADS","Xetra","EUR","EUR","1","Consumer Cyclical","Footwear & Accessories","Consommation discrétionnaire","25322844160","EUR","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","company matched to selected lookup listing","","","","16","https://finance.yahoo.com/quote/ADS.DE/","https://finance.yahoo.com/quote/ADS.DE/","https://finance.yahoo.com/quote/ADS.DE/","https://finance.yahoo.com/quote/ADS.DE/",""
"ADBE","Adobe Inc.","Adobe","ADBE","Nasdaq Global Select Market","USD","USD","1","Technology","Software - Application","IT","99573751808","USD","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","company matched to selected lookup listing","","","","17","https://finance.yahoo.com/quote/ADBE/","https://finance.yahoo.com/quote/ADBE/","https://finance.yahoo.com/quote/ADBE/","https://finance.yahoo.com/quote/ADBE/",""
"AMD","Advanced Micro Devices, Inc.","Advanced Micro Devices","AMD","Nasdaq Global Select Market","USD","USD","1","Technology","Semiconductors","IT","836643454976","USD","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","company matched to selected lookup listing","","","","18","https://finance.yahoo.com/quote/AMD/","https://finance.yahoo.com/quote/AMD/","https://finance.yahoo.com/quote/AMD/","https://finance.yahoo.com/quote/AMD/",""
"ADYEN.AS","Adyen N.V.","ADYEN","ADYEN","Euronext Amsterdam","EUR","EUR","1","Technology","Software - Infrastructure","IT","28874039296","EUR","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","company matched to selected lookup listing","","","","19","https://finance.yahoo.com/quote/ADYEN.AS/","https://finance.yahoo.com/quote/ADYEN.AS/","https://finance.yahoo.com/quote/ADYEN.AS/","https://finance.yahoo.com/quote/ADYEN.AS/",""
"AED.BR","Aedifica NV/SA","AEDIFICA","AED","Euronext Brussels","EUR","EUR","1","Real Estate","REIT — Healthcare Facilities","Immobilier","5513172992","EUR","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","company matched to selected lookup listing","","","","20","https://finance.yahoo.com/quote/AED.BR/","https://finance.yahoo.com/quote/AED.BR/","https://query2.finance.yahoo.com/v1/finance/search?q=AEDIFICA&quotesCount=8&newsCount=0","https://finance.yahoo.com/quote/AED.BR/",""
"AGN.AS","Aegon Ltd.","AEGON","AGN","Euronext Amsterdam","EUR","EUR","1","Financial Services","Insurance - Diversified","Finance","11660000000","EUR","2026-09-16","retrieval date of daily exchange list","rounded source display","2026-09-16","company matched to selected lookup listing","rounded-cap","","","21","https://finance.yahoo.com/quote/AGN.AS/","https://finance.yahoo.com/quote/AGN.AS/","https://finance.yahoo.com/quote/AGN.AS/","https://stockanalysis.com/list/euronext-amsterdam/",""
"AJAX.AS","AFC Ajax NV","AJAX","AJAX","Euronext Amsterdam","EUR","EUR","1","Communication Services","Entertainment","Autres","155833328","EUR","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","company matched to selected lookup listing","","","","32","https://finance.yahoo.com/quote/AJAX.AS/","https://finance.yahoo.com/quote/AJAX.AS/","https://query2.finance.yahoo.com/v1/finance/search?q=AJAX&quotesCount=8&newsCount=0","https://finance.yahoo.com/quote/AJAX.AS/",""
"AMG","Affiliated Managers Group, Inc.","Affiliated Managers Group","AMG","NYSE","USD","USD","1","Financial Services","Asset Management","Finance","8865302528","USD","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","company matched to selected lookup listing","","","","22","https://finance.yahoo.com/quote/AMG/","https://finance.yahoo.com/quote/AMG/","https://query2.finance.yahoo.com/v1/finance/search?q=Affiliated+Managers+Group&quotesCount=8&newsCount=0","https://finance.yahoo.com/quote/AMG/",""
"AGS.BR","ageas SA/NV","AGEAS","AGS","Euronext Brussels","EUR","EUR","1","Financial Services","Insurance — Diversified","Finance","15800000000","EUR","2026-09-16","retrieval date of daily exchange list","rounded source display","2026-09-16","company matched to selected lookup listing","rounded-cap","","","23","https://stockanalysis.com/quote/ebr/AGS/","https://query2.finance.yahoo.com/v8/finance/chart/AGS.BR?interval=1d&range=1d","https://query2.finance.yahoo.com/v1/finance/search?q=AGEAS&quotesCount=8&newsCount=0","https://stockanalysis.com/list/euronext-brussels/",""
"AGFB.BR","Agfa-Gevaert NV","AGFA-GEVAERT","AGFB","Euronext Brussels","EUR","EUR","1","Industrials","Specialty Industrial Machinery","Industrie","59760724","EUR","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","company matched to selected lookup listing","","","","24","https://finance.yahoo.com/quote/AGFB.BR/","https://finance.yahoo.com/quote/AGFB.BR/","https://finance.yahoo.com/quote/AGFB.BR/","https://finance.yahoo.com/quote/AGFB.BR/",""
"AEM","Agnico Eagle Mines Limited","Agnico Eagle Mines Ltd","AEM","NYSE","USD","USD","1","Basic Materials","Gold","Matériaux","99029778432","USD","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","company matched to selected lookup listing","","","","25","https://finance.yahoo.com/quote/AEM/","https://finance.yahoo.com/quote/AEM/","https://finance.yahoo.com/quote/AEM/","https://finance.yahoo.com/quote/AEM/",""
"AF.PA","Air France-KLM SA","AIR FRANCE -KLM","AF","Euronext Paris","EUR","EUR","1","Industrials","Airlines","Autres","2997064960","EUR","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","company matched to selected lookup listing","","","","26","https://finance.yahoo.com/quote/AF.PA/","https://finance.yahoo.com/quote/AF.PA/","https://query2.finance.yahoo.com/v1/finance/search?q=AIR+FRANCE+-KLM&quotesCount=8&newsCount=0","https://finance.yahoo.com/quote/AF.PA/",""
"APD","Air Products and Chemicals, Inc.","Air Products & Chemicals","APD","NYSE","USD","USD","1","Basic Materials","Specialty Chemicals","Matériaux","63928561664","USD","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","company matched to selected lookup listing","","","","28","https://finance.yahoo.com/quote/APD/","https://finance.yahoo.com/quote/APD/","https://query2.finance.yahoo.com/v1/finance/search?q=APD&quotesCount=3&newsCount=0","https://finance.yahoo.com/quote/APD/",""
"ABNB","Airbnb, Inc.","Airbnb","ABNB","Nasdaq Global Select Market","USD","USD","1","Consumer Cyclical","Travel Services","Consommation discrétionnaire","100302585856","USD","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","company matched to selected lookup listing","","","","29","https://finance.yahoo.com/quote/ABNB/","https://finance.yahoo.com/quote/ABNB/","https://finance.yahoo.com/quote/ABNB/","https://finance.yahoo.com/quote/ABNB/",""
"AIR.PA","Airbus SE","AIRBUS SE","AIR","Euronext Paris","EUR","EUR","1","Industrials","Aerospace & Defense","Industrie","155351793664","EUR","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","company matched to selected lookup listing","","","","30","https://finance.yahoo.com/quote/AIR.PA/","https://finance.yahoo.com/quote/AIR.PA/","https://finance.yahoo.com/quote/AIR.PA/","https://finance.yahoo.com/quote/AIR.PA/",""
"AAF.L","Airtel Africa Plc","AIRTEL AFRICA PLC","AAF","London Stock Exchange","GBp","GBP","0.01","Communication Services","Telecom Services","Services publics","12565797888","GBP","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","company matched to selected lookup listing","","Quote currency is pence; market capitalization is in pounds (GBP).","","31","https://finance.yahoo.com/quote/AAF.L/","https://finance.yahoo.com/quote/AAF.L/","https://finance.yahoo.com/quote/AAF.L/","https://finance.yahoo.com/quote/AAF.L/",""
"AKZA.AS","Akzo Nobel N.V.","AKZO NOBEL","AKZA","Euronext Amsterdam","EUR","EUR","1","Basic Materials","Specialty Chemicals","Matériaux","9862355968","EUR","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","company matched to selected lookup listing","","","","33","https://finance.yahoo.com/quote/AKZA.AS/","https://finance.yahoo.com/quote/AKZA.AS/","https://finance.yahoo.com/quote/AKZA.AS/","https://finance.yahoo.com/quote/AKZA.AS/",""
"ALB","Albemarle Corporation","Albemarle Corp","ALB","NYSE","USD","USD","1","Basic Materials","Specialty Chemicals","Matériaux","12918013952","USD","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","company matched to selected lookup listing","","","","34","https://finance.yahoo.com/quote/ALB/","https://finance.yahoo.com/quote/ALB/","https://finance.yahoo.com/quote/ALB/","https://finance.yahoo.com/quote/ALB/",""
"ALC.SW","Alcon Inc.","Alcon","ALC","SIX Swiss Exchange","CHF","CHF","1","Healthcare","Medical Instruments & Supplies","Soins de santé","26635339776","CHF","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","company matched to selected lookup listing","","Swiss-listed ordinary shares selected.","","35","https://finance.yahoo.com/quote/ALC.SW/","https://finance.yahoo.com/quote/ALC.SW/","https://query2.finance.yahoo.com/v1/finance/search?q=Alcon&quotesCount=8&newsCount=0","https://finance.yahoo.com/quote/ALC.SW/",""
"ALFEN.AS","Alfen N.V.","ALFEN","ALFEN","Euronext Amsterdam","EUR","EUR","1","Industrials","Electrical Equipment & Parts","Industrie","241191264","EUR","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","company matched to selected lookup listing","","","","36","https://finance.yahoo.com/quote/ALFEN.AS/","https://finance.yahoo.com/quote/ALFEN.AS/","https://finance.yahoo.com/quote/ALFEN.AS/","https://finance.yahoo.com/quote/ALFEN.AS/",""
"ALLE","Allegion plc","Allegion Public Limited","ALLE","NYSE","USD","USD","1","Industrials","Security & Protection Services","IT","12994470912","USD","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","company matched to selected lookup listing","","","","37","https://finance.yahoo.com/quote/ALLE/","https://finance.yahoo.com/quote/ALLE/","https://query2.finance.yahoo.com/v1/finance/search?q=ALLE&quotesCount=3&newsCount=0","https://finance.yahoo.com/quote/ALLE/",""
"ALLFG.AS","Allfunds Group plc","ALLFUNDS GROUP PLC","ALLFG","Euronext Amsterdam","EUR","EUR","1","Financial Services","Asset Management","Finance","5406991872","EUR","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","company matched to selected lookup listing","","","","38","https://finance.yahoo.com/quote/ALLFG.AS/","https://finance.yahoo.com/quote/ALLFG.AS/","https://query2.finance.yahoo.com/v1/finance/search?q=ALLFUNDS+GROUP+PLC&quotesCount=8&newsCount=0","https://finance.yahoo.com/quote/ALLFG.AS/",""
"ALV.DE","Allianz SE","ALLIANZ SE","ALV","Xetra","EUR","EUR","1","Financial Services","Insurance - Diversified","Finance","168140000000","EUR","2026-09-16","quote date shown by market-cap source","rounded source display","2026-09-16","company matched to selected lookup listing","rounded-cap","","","39","https://finance.yahoo.com/quote/ALV.DE/","https://finance.yahoo.com/quote/ALV.DE/","https://finance.yahoo.com/quote/ALV.DE/","https://stockanalysis.com/quote/etr/ALV/",""
"GOOG","Alphabet Inc.","Alphabet","GOOG","Nasdaq Global Select Market","USD","USD","1","Communication Services","Internet Content & Information","IT","4150350577664","USD","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","share class not confirmed","share-class","Class C shares (GOOG) selected; Class A GOOGL also exists. Challenge share class not confirmed.","GOOGL","41","https://finance.yahoo.com/quote/GOOG/","https://finance.yahoo.com/quote/GOOG/","https://finance.yahoo.com/quote/GOOG/","https://finance.yahoo.com/quote/GOOG/",""
"MO","Altria Group, Inc.","Altria Group","MO","NYSE","USD","USD","1","Consumer Defensive","Tobacco","Biens de consommation courants","117049040896","USD","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","company matched to selected lookup listing","","","","42","https://finance.yahoo.com/quote/MO/","https://finance.yahoo.com/quote/MO/","https://finance.yahoo.com/quote/MO/","https://finance.yahoo.com/quote/MO/",""
"ALX.AS","Alumexx N.V.","ALUMEXX N.V.","ALX","Euronext Amsterdam","EUR","EUR","1","Consumer Cyclical","Internet Retail","Autres","20240000","EUR","2026-09-16","retrieval date of daily exchange list","rounded source display","2026-09-16","company matched to selected lookup listing","rounded-cap","","","43","https://stockanalysis.com/quote/ams/ALX/","https://query2.finance.yahoo.com/v8/finance/chart/ALX.AS?interval=1d&range=1d","https://query2.finance.yahoo.com/v1/finance/search?q=ALUMEXX+N.V.&quotesCount=8&newsCount=0","https://stockanalysis.com/list/euronext-amsterdam/",""
"AMZN","Amazon.com, Inc.","Amazon.com","AMZN","Nasdaq Global Select Market","USD","USD","1","Consumer Cyclical","Internet Retail","Consommation discrétionnaire","2653001613312","USD","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","company matched to selected lookup listing","","","","44","https://finance.yahoo.com/quote/AMZN/","https://finance.yahoo.com/quote/AMZN/","https://finance.yahoo.com/quote/AMZN/","https://finance.yahoo.com/quote/AMZN/",""
"AEP","American Electric Power Company, Inc.","American Electric Power Company","AEP","Nasdaq Global Select Market","USD","USD","1","Utilities","Utilities - Regulated Electric","Services publics","65703321600","USD","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","company matched to selected lookup listing","","","","45","https://finance.yahoo.com/quote/AEP/","https://finance.yahoo.com/quote/AEP/","https://finance.yahoo.com/quote/AEP/","https://finance.yahoo.com/quote/AEP/",""
"AFG","American Financial Group, Inc.","American Financial Group","AFG","NYSE","USD","USD","1","Financial Services","Insurance - Property & Casualty","Finance","11940000000","USD","2026-09-16","quote date shown by market-cap source","rounded source display","2026-09-16","company matched to selected lookup listing","rounded-cap","","","46","https://finance.yahoo.com/quote/AFG/","https://finance.yahoo.com/quote/AFG/","https://finance.yahoo.com/quote/AFG/","https://stockanalysis.com/stocks/afg/",""
"AMT","American Tower Corporation","American Tower Corp","AMT","NYSE","USD","USD","1","Real Estate","REIT - Specialty","Immobilier","82190696448","USD","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","company matched to selected lookup listing","","","","47","https://finance.yahoo.com/quote/AMT/","https://finance.yahoo.com/quote/AMT/","https://finance.yahoo.com/quote/AMT/","https://finance.yahoo.com/quote/AMT/",""
"AMG.AS","AMG Critical Materials N.V.","AMG Critical Materials N.V.","AMG","Euronext Amsterdam","EUR","EUR","1","Basic Materials","Other Industrial Metals & Mining","Matériaux","1038402432","EUR","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","company matched to selected lookup listing","","","","48","https://finance.yahoo.com/quote/AMG.AS/","https://finance.yahoo.com/quote/AMG.AS/","https://query2.finance.yahoo.com/v1/finance/search?q=AMG+Critical+Materials+N.V.&quotesCount=8&newsCount=0","https://finance.yahoo.com/quote/AMG.AS/",""
"AMGN","Amgen Inc.","Amgen","AMGN","Nasdaq Global Select Market","USD","USD","1","Healthcare","Drug Manufacturers - General","Soins de santé","203466850304","USD","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","company matched to selected lookup listing","","","","49","https://finance.yahoo.com/quote/AMGN/","https://finance.yahoo.com/quote/AMGN/","https://finance.yahoo.com/quote/AMGN/","https://finance.yahoo.com/quote/AMGN/",""
"APH","Amphenol Corporation","Amphenol Corp","APH","NYSE","USD","USD","1","Technology","Electronic Components","Industrie","190520606720","USD","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","company matched to selected lookup listing","","","","50","https://finance.yahoo.com/quote/APH/","https://finance.yahoo.com/quote/APH/","https://finance.yahoo.com/quote/APH/","https://finance.yahoo.com/quote/APH/",""
"ADI","Analog Devices, Inc.","Analog Devices","ADI","Nasdaq Global Select Market","USD","USD","1","Technology","Semiconductors","IT","175432089600","USD","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","company matched to selected lookup listing","","","","51","https://finance.yahoo.com/quote/ADI/","https://finance.yahoo.com/quote/ADI/","https://finance.yahoo.com/quote/ADI/","https://finance.yahoo.com/quote/ADI/",""
"ABI.BR","Anheuser-Busch InBev SA/NV","AB INBEV","ABI","Euronext Brussels","EUR","EUR","1","Consumer Defensive","Beverages - Brewers","Biens de consommation courants","135948656640","EUR","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","company matched to selected lookup listing","","","","5","https://finance.yahoo.com/quote/ABI.BR/","https://finance.yahoo.com/quote/ABI.BR/","https://finance.yahoo.com/quote/ABI.BR/","https://finance.yahoo.com/quote/ABI.BR/",""
"AON","Aon plc","Aon plc","AON","NYSE","USD","USD","1","Financial Services","Insurance Brokers","Finance","63758544896","USD","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","company matched to selected lookup listing","","","","53","https://finance.yahoo.com/quote/AON/","https://finance.yahoo.com/quote/AON/","https://finance.yahoo.com/quote/AON/","https://finance.yahoo.com/quote/AON/",""
"APAM.AS","Aperam S.A.","APERAM","APAM","Euronext Amsterdam","EUR","EUR","1","Basic Materials","Steel","Matériaux","3350000000","EUR","2026-09-16","retrieval date of daily exchange list","rounded source display","2026-09-16","company matched to selected lookup listing","rounded-cap","","","54","https://finance.yahoo.com/quote/APAM.AS/","https://finance.yahoo.com/quote/APAM.AS/","https://finance.yahoo.com/quote/APAM.AS/","https://stockanalysis.com/list/euronext-amsterdam/",""
"AAPL","Apple Inc.","Apple","AAPL","Nasdaq Global Select Market","USD","USD","1","Technology","Consumer Electronics","IT","4851251544064","USD","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","company matched to selected lookup listing","","","","55","https://finance.yahoo.com/quote/AAPL/","https://finance.yahoo.com/quote/AAPL/","https://finance.yahoo.com/quote/AAPL/","https://finance.yahoo.com/quote/AAPL/",""
"AMAT","Applied Materials, Inc.","Applied Materials","AMAT","Nasdaq Global Select Market","USD","USD","1","Technology","Semiconductor Equipment & Materials","IT","329644507136","USD","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","company matched to selected lookup listing","","","","56","https://finance.yahoo.com/quote/AMAT/","https://finance.yahoo.com/quote/AMAT/","https://finance.yahoo.com/quote/AMAT/","https://finance.yahoo.com/quote/AMAT/",""
"APP","AppLovin Corporation","Applovin Corp","APP","Nasdaq Global Select Market","USD","USD","1","Communication Services","Advertising Agencies","Autres","109704404992","USD","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","company matched to selected lookup listing","","","","57","https://finance.yahoo.com/quote/APP/","https://finance.yahoo.com/quote/APP/","https://finance.yahoo.com/quote/APP/","https://finance.yahoo.com/quote/APP/",""
"ARCAD.AS","Arcadis NV","ARCADIS","ARCAD","Euronext Amsterdam","EUR","EUR","1","Industrials","Engineering & Construction","Industrie","3624671744","EUR","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","company matched to selected lookup listing","","","","58","https://finance.yahoo.com/quote/ARCAD.AS/","https://finance.yahoo.com/quote/ARCAD.AS/","https://query2.finance.yahoo.com/v1/finance/search?q=ARCADIS&quotesCount=8&newsCount=0","https://finance.yahoo.com/quote/ARCAD.AS/",""
"MT.AS","ArcelorMittal S.A.","ARCELORMITTAL SA","MT","Euronext Amsterdam","EUR","EUR","1","Basic Materials","Steel","Matériaux","48667918336","EUR","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","company matched to selected lookup listing","","","","59","https://finance.yahoo.com/quote/MT.AS/","https://finance.yahoo.com/quote/MT.AS/","https://finance.yahoo.com/quote/MT.AS/","https://finance.yahoo.com/quote/MT.AS/",""
"ARGX.BR","argenx SE","ARGENX SE","ARGX","Euronext Brussels","EUR","EUR","1","Healthcare","Biotechnology","Soins de santé","53710000000","EUR","2026-09-16","retrieval date of daily exchange list","rounded source display","2026-09-16","company matched to selected lookup listing","rounded-cap","","","60","https://stockanalysis.com/quote/ebr/ARGX/","https://query2.finance.yahoo.com/v8/finance/chart/ARGX.BR?interval=1d&range=1d","https://query2.finance.yahoo.com/v1/finance/search?q=ARGENX+SE&quotesCount=8&newsCount=0","https://stockanalysis.com/list/euronext-brussels/",""
"AKE.PA","Arkema S.A.","ARKEMA","AKE","Euronext Paris","EUR","EUR","1","Basic Materials","Specialty Chemicals","Matériaux","4215031040","EUR","2026-09-15","quote date shown by market-cap source","provider raw value","2026-09-16","company matched to selected lookup listing","","","","61","https://finance.yahoo.com/quote/AKE.PA/","https://finance.yahoo.com/quote/AKE.PA/","https://finance.yahoo.com/quote/AKE.PA/","https://finance.yahoo.com/quote/AKE.PA/",""
"ARM","Arm Holdings plc","Arm Holdings plc","ARM","Nasdaq Global Select Market","USD","USD","1","Technology","Semiconductors","Autres","260570284032","USD","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","company matched to selected lookup listing","","US-listed American depositary shares selected.","","62","https://finance.yahoo.com/quote/ARM/","https://finance.yahoo.com/quote/ARM/","https://finance.yahoo.com/quote/ARM/","https://finance.yahoo.com/quote/ARM/",""
"ASCE.BR","Ascencio SA","ASCENCIO","ASCE","Euronext Brussels","EUR","EUR","1","Real Estate","REIT - Retail","Immobilier","363318080","EUR","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","company matched to selected lookup listing","","","","63","https://finance.yahoo.com/quote/ASCE.BR/","https://finance.yahoo.com/quote/ASCE.BR/","https://finance.yahoo.com/quote/ASCE.BR/","https://finance.yahoo.com/quote/ASCE.BR/",""
