"challenge_name","company_name","ticker","exchange","yahoo_symbol","quote_url","quote_currency","sector","industry","market_cap","market_cap_currency","market_cap_source_date","market_cap_date_basis","market_cap_precision","data_retrieved_date","challenge_sector","listing_match_status","notes","alternative_yahoo_symbols","listing_source_url","classification_source_url","market_cap_source_url","supplemental_source_url"
"Meta Platforms","Meta Platforms, Inc.","META","Nasdaq Global Select Market","META","https://finance.yahoo.com/quote/META/","USD","Communication Services","Internet Content & Information",1715261407232,"USD","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","IT","company matched to selected lookup listing","","","https://finance.yahoo.com/quote/META/","https://finance.yahoo.com/quote/META/","https://finance.yahoo.com/quote/META/",""
"MetLife","MetLife, Inc.","MET","NYSE","MET","https://finance.yahoo.com/quote/MET/","USD","Financial Services","Insurance - Life",61787422720,"USD","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","Finance","company matched to selected lookup listing","","","https://finance.yahoo.com/quote/MET/","https://finance.yahoo.com/quote/MET/","https://finance.yahoo.com/quote/MET/",""
"MICHELIN","Compagnie Générale des Établissements Michelin Société en commandite par actions","ML","Euronext Paris","ML.PA","https://finance.yahoo.com/quote/ML.PA/","EUR","Consumer Cyclical","Auto Parts",22480000000,"EUR","2026-09-16","quote date shown by market-cap source","rounded source display","2026-09-16","Consommation discrétionnaire","company matched to selected lookup listing","","","https://finance.yahoo.com/quote/ML.PA/","https://query2.finance.yahoo.com/v1/finance/search?q=MICHELIN&quotesCount=8&newsCount=0","https://stockanalysis.com/quote/epa/ML/",""
"Microchip Technology","Microchip Technology Incorporated","MCHP","Nasdaq Global Select Market","MCHP","https://finance.yahoo.com/quote/MCHP/","USD","Technology","Semiconductors",37787975680,"USD","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","IT","company matched to selected lookup listing","","","https://finance.yahoo.com/quote/MCHP/","https://finance.yahoo.com/quote/MCHP/","https://finance.yahoo.com/quote/MCHP/",""
"Micron Technology","Micron Technology, Inc.","MU","Nasdaq Global Select Market","MU","https://finance.yahoo.com/quote/MU/","USD","Technology","Semiconductors",1046439198720,"USD","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","IT","company matched to selected lookup listing","","","https://finance.yahoo.com/quote/MU/","https://finance.yahoo.com/quote/MU/","https://finance.yahoo.com/quote/MU/",""
"Microsoft Corp","Microsoft Corporation","MSFT","Nasdaq Global Select Market","MSFT","https://finance.yahoo.com/quote/MSFT/","USD","Technology","Software - Infrastructure",3640745000960,"USD","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","IT","company matched to selected lookup listing","","","https://finance.yahoo.com/quote/MSFT/","https://finance.yahoo.com/quote/MSFT/","https://finance.yahoo.com/quote/MSFT/",""
"MicroStrategy","Strategy Inc","MSTR","Nasdaq Global Select Market","MSTR","https://finance.yahoo.com/quote/MSTR/","USD","Technology","Software - Application",50129002496,"USD","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","IT","company matched to selected lookup listing","Challenge uses MicroStrategy; current quoted name is Strategy. Ticker remains MSTR.","","https://finance.yahoo.com/quote/MSTR/","https://finance.yahoo.com/quote/MSTR/","https://finance.yahoo.com/quote/MSTR/",""
"MKB Nedsense N.V.","MKB Nedsense N.V.","NEDSE","Euronext Amsterdam","NEDSE.AS","https://stockanalysis.com/quote/ams/NEDSE/","EUR","Financial Services","Asset Management",8100000,"EUR","2026-09-16","retrieval date of daily exchange list","rounded source display","2026-09-16","Autres","company matched to selected lookup listing","","","https://query2.finance.yahoo.com/v8/finance/chart/NEDSE.AS?interval=1d&range=1d","https://query2.finance.yahoo.com/v1/finance/search?q=MKB+Nedsense+N.V.&quotesCount=8&newsCount=0","https://stockanalysis.com/list/euronext-amsterdam/",""
"Moderna","Moderna, Inc.","MRNA","Nasdaq Global Select Market","MRNA","https://finance.yahoo.com/quote/MRNA/","USD","Healthcare","Biotechnology",58136731648,"USD","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","Soins de santé","company matched to selected lookup listing","","","https://finance.yahoo.com/quote/MRNA/","https://finance.yahoo.com/quote/MRNA/","https://finance.yahoo.com/quote/MRNA/",""
"Mondelez International","Mondelez International, Inc.","MDLZ","Nasdaq Global Select Market","MDLZ","https://finance.yahoo.com/quote/MDLZ/","USD","Consumer Defensive","Confectioners",79590572032,"USD","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","Biens de consommation courants","company matched to selected lookup listing","","","https://finance.yahoo.com/quote/MDLZ/","https://finance.yahoo.com/quote/MDLZ/","https://finance.yahoo.com/quote/MDLZ/",""
"MONDI PLC","Mondi plc","MNDI","London Stock Exchange","MNDI.L","https://finance.yahoo.com/quote/MNDI.L/","GBp","Basic Materials","Paper & Paper Products",3693886208,"GBP","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","Matériaux","company matched to selected lookup listing","Quote currency is pence; market capitalization is in pounds (GBP).","","https://finance.yahoo.com/quote/MNDI.L/","https://finance.yahoo.com/quote/MNDI.L/","https://finance.yahoo.com/quote/MNDI.L/",""
"MongoDB","MongoDB, Inc.","MDB","Nasdaq Global Market","MDB","https://finance.yahoo.com/quote/MDB/","USD","Technology","Software - Infrastructure",30269751296,"USD","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","IT","company matched to selected lookup listing","","","https://finance.yahoo.com/quote/MDB/","https://finance.yahoo.com/quote/MDB/","https://finance.yahoo.com/quote/MDB/",""
"Monolithic Power Systems","Monolithic Power Systems, Inc.","MPWR","Nasdaq Global Select Market","MPWR","https://finance.yahoo.com/quote/MPWR/","USD","Technology","Semiconductors",56396996608,"USD","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","IT","company matched to selected lookup listing","","","https://finance.yahoo.com/quote/MPWR/","https://finance.yahoo.com/quote/MPWR/","https://finance.yahoo.com/quote/MPWR/",""
"Monster Beverage Corp","Monster Beverage Corporation","MNST","Nasdaq Global Select Market","MNST","https://finance.yahoo.com/quote/MNST/","USD","Consumer Defensive","Beverages - Non-Alcoholic",87314939904,"USD","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","Biens de consommation courants","company matched to selected lookup listing","","","https://finance.yahoo.com/quote/MNST/","https://finance.yahoo.com/quote/MNST/","https://finance.yahoo.com/quote/MNST/",""
"MONTEA NV","Montea Comm. VA","MONT","Euronext Brussels","MONT.BR","https://finance.yahoo.com/quote/MONT.BR/","EUR","Real Estate","REIT - Industrial",1460000000,"EUR","2026-09-16","retrieval date of daily exchange list","rounded source display","2026-09-16","Immobilier","company matched to selected lookup listing","","","https://finance.yahoo.com/quote/MONT.BR/","https://finance.yahoo.com/quote/MONT.BR/","https://stockanalysis.com/list/euronext-brussels/",""
