"challenge_name","company_name","ticker","exchange","yahoo_symbol","quote_url","quote_currency","sector","industry","market_cap","market_cap_currency","market_cap_source_date","market_cap_date_basis","market_cap_precision","data_retrieved_date","challenge_sector","listing_match_status","notes","alternative_yahoo_symbols","listing_source_url","classification_source_url","market_cap_source_url","supplemental_source_url"
"3M Company","3M Company","MMM","NYSE","MMM","https://finance.yahoo.com/quote/MMM/","USD","Industrials","Conglomerates",83882254336,"USD","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","Industrie","company matched to selected lookup listing","","","https://finance.yahoo.com/quote/MMM/","https://finance.yahoo.com/quote/MMM/","https://finance.yahoo.com/quote/MMM/",""
"A.P.MOLLER-MAERSK A/S","A.P. Møller - Mærsk A/S","MAERSK B","Nasdaq Copenhagen","MAERSK-B.CO","https://finance.yahoo.com/quote/MAERSK-B.CO/","DKK","Industrials","Marine Shipping",323612246016,"DKK","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","Industrie","share class not confirmed","B shares selected; challenge share class not confirmed.","","https://finance.yahoo.com/quote/MAERSK-B.CO/","https://finance.yahoo.com/quote/MAERSK-B.CO/","https://finance.yahoo.com/quote/MAERSK-B.CO/",""
"AALBERTS N.V.","Aalberts N.V.","AALB","Euronext Amsterdam","AALB.AS","https://finance.yahoo.com/quote/AALB.AS/","EUR","Industrials","Specialty Industrial Machinery",4305856000,"EUR","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","Industrie","company matched to selected lookup listing","","","https://finance.yahoo.com/quote/AALB.AS/","https://query2.finance.yahoo.com/v1/finance/search?q=AALBERTS+N.V.&quotesCount=8&newsCount=0","https://finance.yahoo.com/quote/AALB.AS/",""
"AB INBEV","Anheuser-Busch InBev SA/NV","ABI","Euronext Brussels","ABI.BR","https://finance.yahoo.com/quote/ABI.BR/","EUR","Consumer Defensive","Beverages - Brewers",135948656640,"EUR","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","Biens de consommation courants","company matched to selected lookup listing","","","https://finance.yahoo.com/quote/ABI.BR/","https://finance.yahoo.com/quote/ABI.BR/","https://finance.yahoo.com/quote/ABI.BR/",""
"ABB LTD.","ABB Ltd","ABBN","SIX Swiss Exchange","ABBN.SW","https://finance.yahoo.com/quote/ABBN.SW/","CHF","Industrials","Electrical Equipment & Parts",141749518336,"CHF","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","Industrie","company matched to selected lookup listing","","","https://finance.yahoo.com/quote/ABBN.SW/","https://finance.yahoo.com/quote/ABBN.SW/","https://finance.yahoo.com/quote/ABBN.SW/",""
"Abbott Laboratories","Abbott Laboratories","ABT","NYSE","ABT","https://finance.yahoo.com/quote/ABT/","USD","Healthcare","Medical Devices",177122033664,"USD","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","Soins de santé","company matched to selected lookup listing","","","https://finance.yahoo.com/quote/ABT/","https://finance.yahoo.com/quote/ABT/","https://finance.yahoo.com/quote/ABT/",""
"ABBVIE","AbbVie Inc.","ABBV","NYSE","ABBV","https://finance.yahoo.com/quote/ABBV/","USD","Healthcare","Drug Manufacturers - General",463885991936,"USD","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","Soins de santé","company matched to selected lookup listing","","","https://finance.yahoo.com/quote/ABBV/","https://finance.yahoo.com/quote/ABBV/","https://finance.yahoo.com/quote/ABBV/",""
"ABN AMRO BANK N.V.","ABN AMRO Bank N.V.","ABN","Euronext Amsterdam","ABN.AS","https://finance.yahoo.com/quote/ABN.AS/","EUR","Financial Services","Banks—Diversified",35343761408,"EUR","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","Finance","company matched to selected lookup listing","","","https://finance.yahoo.com/quote/ABN.AS/","https://query2.finance.yahoo.com/v1/finance/search?q=ABN+AMRO+BANK+N.V.&quotesCount=8&newsCount=0","https://finance.yahoo.com/quote/ABN.AS/",""
"Accenture PLC","Accenture plc","ACN","NYSE","ACN","https://finance.yahoo.com/quote/ACN/","USD","Technology","Information Technology Services",116048699392,"USD","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","IT","company matched to selected lookup listing","","","https://finance.yahoo.com/quote/ACN/","https://finance.yahoo.com/quote/ACN/","https://finance.yahoo.com/quote/ACN/",""
"ACCOR","Accor SA","AC","Euronext Paris","AC.PA","https://finance.yahoo.com/quote/AC.PA/","EUR","Consumer Cyclical","Lodging",10460667904,"EUR","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","Consommation discrétionnaire","company matched to selected lookup listing","","","https://finance.yahoo.com/quote/AC.PA/","https://finance.yahoo.com/quote/AC.PA/","https://finance.yahoo.com/quote/AC.PA/",""
"ACCSYS TECHNOLOGIES PLC","Accsys Technologies PLC","AXS","Euronext Amsterdam","AXS.AS","https://stockanalysis.com/quote/ams/AXS/","EUR","Basic Materials","Lumber & Wood Production",193020000,"EUR","2026-09-16","retrieval date of daily exchange list","rounded source display","2026-09-16","Matériaux","company matched to selected lookup listing","","","https://query2.finance.yahoo.com/v8/finance/chart/AXS.AS?interval=1d&range=1d","https://query2.finance.yahoo.com/v1/finance/search?q=ACCSYS+TECHNOLOGIES+PLC&quotesCount=8&newsCount=0","https://stockanalysis.com/list/euronext-amsterdam/",""
"ACKERMANS V.HAAREN","Ackermans & Van Haaren NV","ACKB","Euronext Brussels","ACKB.BR","https://finance.yahoo.com/quote/ACKB.BR/","EUR","Industrials","Engineering & Construction",8923883520,"EUR","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","Finance","company matched to selected lookup listing","","","https://finance.yahoo.com/quote/ACKB.BR/","https://finance.yahoo.com/quote/ACKB.BR/","https://finance.yahoo.com/quote/ACKB.BR/",""
"ACOMO N.V.","Acomo N.V.","ACOMO","Euronext Amsterdam","ACOMO.AS","https://finance.yahoo.com/quote/ACOMO.AS/","EUR","Consumer Defensive","Food Distribution",692085632,"EUR","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","Biens de consommation courants","company matched to selected lookup listing","","","https://finance.yahoo.com/quote/ACOMO.AS/","https://query2.finance.yahoo.com/v1/finance/search?q=ACOMO+N.V.&quotesCount=8&newsCount=0","https://finance.yahoo.com/quote/ACOMO.AS/",""
"ADECCO GROUP AG","Adecco Group AG","ADEN","SIX Swiss Exchange","ADEN.SW","https://finance.yahoo.com/quote/ADEN.SW/","CHF","Industrials","Staffing & Employment Services",4107730432,"CHF","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","Industrie","company matched to selected lookup listing","","","https://finance.yahoo.com/quote/ADEN.SW/","https://query2.finance.yahoo.com/v1/finance/search?q=ADECCO+GROUP+AG&quotesCount=8&newsCount=0","https://finance.yahoo.com/quote/ADEN.SW/",""
"ADIDAS AG","adidas AG","ADS","Xetra","ADS.DE","https://finance.yahoo.com/quote/ADS.DE/","EUR","Consumer Cyclical","Footwear & Accessories",25322844160,"EUR","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","Consommation discrétionnaire","company matched to selected lookup listing","","","https://finance.yahoo.com/quote/ADS.DE/","https://finance.yahoo.com/quote/ADS.DE/","https://finance.yahoo.com/quote/ADS.DE/",""
"Adobe","Adobe Inc.","ADBE","Nasdaq Global Select Market","ADBE","https://finance.yahoo.com/quote/ADBE/","USD","Technology","Software - Application",99573751808,"USD","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","IT","company matched to selected lookup listing","","","https://finance.yahoo.com/quote/ADBE/","https://finance.yahoo.com/quote/ADBE/","https://finance.yahoo.com/quote/ADBE/",""
"Advanced Micro Devices","Advanced Micro Devices, Inc.","AMD","Nasdaq Global Select Market","AMD","https://finance.yahoo.com/quote/AMD/","USD","Technology","Semiconductors",836643454976,"USD","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","IT","company matched to selected lookup listing","","","https://finance.yahoo.com/quote/AMD/","https://finance.yahoo.com/quote/AMD/","https://finance.yahoo.com/quote/AMD/",""
"ADYEN","Adyen N.V.","ADYEN","Euronext Amsterdam","ADYEN.AS","https://finance.yahoo.com/quote/ADYEN.AS/","EUR","Technology","Software - Infrastructure",28874039296,"EUR","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","IT","company matched to selected lookup listing","","","https://finance.yahoo.com/quote/ADYEN.AS/","https://finance.yahoo.com/quote/ADYEN.AS/","https://finance.yahoo.com/quote/ADYEN.AS/",""
"AEDIFICA","Aedifica NV/SA","AED","Euronext Brussels","AED.BR","https://finance.yahoo.com/quote/AED.BR/","EUR","Real Estate","REIT—Healthcare Facilities",5513172992,"EUR","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","Immobilier","company matched to selected lookup listing","","","https://finance.yahoo.com/quote/AED.BR/","https://query2.finance.yahoo.com/v1/finance/search?q=AEDIFICA&quotesCount=8&newsCount=0","https://finance.yahoo.com/quote/AED.BR/",""
"AEGON","Aegon Ltd.","AGN","Euronext Amsterdam","AGN.AS","https://finance.yahoo.com/quote/AGN.AS/","EUR","Financial Services","Insurance - Diversified",11660000000,"EUR","2026-09-16","retrieval date of daily exchange list","rounded source display","2026-09-16","Finance","company matched to selected lookup listing","","","https://finance.yahoo.com/quote/AGN.AS/","https://finance.yahoo.com/quote/AGN.AS/","https://stockanalysis.com/list/euronext-amsterdam/",""
"Affiliated Managers Group","Affiliated Managers Group, Inc.","AMG","NYSE","AMG","https://finance.yahoo.com/quote/AMG/","USD","Financial Services","Asset Management",8865302528,"USD","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","Finance","company matched to selected lookup listing","","","https://finance.yahoo.com/quote/AMG/","https://query2.finance.yahoo.com/v1/finance/search?q=Affiliated+Managers+Group&quotesCount=8&newsCount=0","https://finance.yahoo.com/quote/AMG/",""
"AGEAS","ageas SA/NV","AGS","Euronext Brussels","AGS.BR","https://stockanalysis.com/quote/ebr/AGS/","EUR","Financial Services","Insurance—Diversified",15800000000,"EUR","2026-09-16","retrieval date of daily exchange list","rounded source display","2026-09-16","Finance","company matched to selected lookup listing","","","https://query2.finance.yahoo.com/v8/finance/chart/AGS.BR?interval=1d&range=1d","https://query2.finance.yahoo.com/v1/finance/search?q=AGEAS&quotesCount=8&newsCount=0","https://stockanalysis.com/list/euronext-brussels/",""
"AGFA-GEVAERT","Agfa-Gevaert NV","AGFB","Euronext Brussels","AGFB.BR","https://finance.yahoo.com/quote/AGFB.BR/","EUR","Industrials","Specialty Industrial Machinery",59760724,"EUR","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","Industrie","company matched to selected lookup listing","","","https://finance.yahoo.com/quote/AGFB.BR/","https://finance.yahoo.com/quote/AGFB.BR/","https://finance.yahoo.com/quote/AGFB.BR/",""
"Agnico Eagle Mines Ltd","Agnico Eagle Mines Limited","AEM","NYSE","AEM","https://finance.yahoo.com/quote/AEM/","USD","Basic Materials","Gold",99029778432,"USD","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","Matériaux","company matched to selected lookup listing","","","https://finance.yahoo.com/quote/AEM/","https://finance.yahoo.com/quote/AEM/","https://finance.yahoo.com/quote/AEM/",""
"AIR FRANCE -KLM","Air France-KLM SA","AF","Euronext Paris","AF.PA","https://finance.yahoo.com/quote/AF.PA/","EUR","Industrials","Airlines",2997064960,"EUR","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","Autres","company matched to selected lookup listing","","","https://finance.yahoo.com/quote/AF.PA/","https://query2.finance.yahoo.com/v1/finance/search?q=AIR+FRANCE+-KLM&quotesCount=8&newsCount=0","https://finance.yahoo.com/quote/AF.PA/",""
"AIR LIQUIDE","L'Air Liquide S.A.","AI","Euronext Paris","AI.PA","https://finance.yahoo.com/quote/AI.PA/","EUR","Basic Materials","Specialty Chemicals",106203242496,"EUR","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","Matériaux","company matched to selected lookup listing","","","https://finance.yahoo.com/quote/AI.PA/","https://finance.yahoo.com/quote/AI.PA/","https://finance.yahoo.com/quote/AI.PA/",""
"Air Products & Chemicals","Air Products and Chemicals, Inc.","APD","NYSE","APD","https://finance.yahoo.com/quote/APD/","USD","Basic Materials","Specialty Chemicals",63928561664,"USD","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","Matériaux","company matched to selected lookup listing","","","https://finance.yahoo.com/quote/APD/","https://query2.finance.yahoo.com/v1/finance/search?q=APD&quotesCount=3&newsCount=0","https://finance.yahoo.com/quote/APD/",""
"Airbnb","Airbnb, Inc.","ABNB","Nasdaq Global Select Market","ABNB","https://finance.yahoo.com/quote/ABNB/","USD","Consumer Cyclical","Travel Services",100302585856,"USD","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","Consommation discrétionnaire","company matched to selected lookup listing","","","https://finance.yahoo.com/quote/ABNB/","https://finance.yahoo.com/quote/ABNB/","https://finance.yahoo.com/quote/ABNB/",""
"AIRBUS SE","Airbus SE","AIR","Euronext Paris","AIR.PA","https://finance.yahoo.com/quote/AIR.PA/","EUR","Industrials","Aerospace & Defense",155351793664,"EUR","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","Industrie","company matched to selected lookup listing","","","https://finance.yahoo.com/quote/AIR.PA/","https://finance.yahoo.com/quote/AIR.PA/","https://finance.yahoo.com/quote/AIR.PA/",""
"AIRTEL AFRICA PLC","Airtel Africa Plc","AAF","London Stock Exchange","AAF.L","https://finance.yahoo.com/quote/AAF.L/","GBp","Communication Services","Telecom Services",12565797888,"GBP","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","Services publics","company matched to selected lookup listing","Quote currency is pence; market capitalization is in pounds (GBP).","","https://finance.yahoo.com/quote/AAF.L/","https://finance.yahoo.com/quote/AAF.L/","https://finance.yahoo.com/quote/AAF.L/",""
"AJAX","AFC Ajax NV","AJAX","Euronext Amsterdam","AJAX.AS","https://finance.yahoo.com/quote/AJAX.AS/","EUR","Communication Services","Entertainment",155833328,"EUR","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","Autres","company matched to selected lookup listing","","","https://finance.yahoo.com/quote/AJAX.AS/","https://query2.finance.yahoo.com/v1/finance/search?q=AJAX&quotesCount=8&newsCount=0","https://finance.yahoo.com/quote/AJAX.AS/",""
"AKZO NOBEL","Akzo Nobel N.V.","AKZA","Euronext Amsterdam","AKZA.AS","https://finance.yahoo.com/quote/AKZA.AS/","EUR","Basic Materials","Specialty Chemicals",9862355968,"EUR","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","Matériaux","company matched to selected lookup listing","","","https://finance.yahoo.com/quote/AKZA.AS/","https://finance.yahoo.com/quote/AKZA.AS/","https://finance.yahoo.com/quote/AKZA.AS/",""
"Albemarle Corp","Albemarle Corporation","ALB","NYSE","ALB","https://finance.yahoo.com/quote/ALB/","USD","Basic Materials","Specialty Chemicals",12918013952,"USD","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","Matériaux","company matched to selected lookup listing","","","https://finance.yahoo.com/quote/ALB/","https://finance.yahoo.com/quote/ALB/","https://finance.yahoo.com/quote/ALB/",""
"Alcon","Alcon Inc.","ALC","SIX Swiss Exchange","ALC.SW","https://finance.yahoo.com/quote/ALC.SW/","CHF","Healthcare","Medical Instruments & Supplies",26635339776,"CHF","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","Soins de santé","company matched to selected lookup listing","Swiss-listed ordinary shares selected.","","https://finance.yahoo.com/quote/ALC.SW/","https://query2.finance.yahoo.com/v1/finance/search?q=Alcon&quotesCount=8&newsCount=0","https://finance.yahoo.com/quote/ALC.SW/",""
"ALFEN","Alfen N.V.","ALFEN","Euronext Amsterdam","ALFEN.AS","https://finance.yahoo.com/quote/ALFEN.AS/","EUR","Industrials","Electrical Equipment & Parts",241191264,"EUR","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","Industrie","company matched to selected lookup listing","","","https://finance.yahoo.com/quote/ALFEN.AS/","https://finance.yahoo.com/quote/ALFEN.AS/","https://finance.yahoo.com/quote/ALFEN.AS/",""
"Allegion Public Limited","Allegion plc","ALLE","NYSE","ALLE","https://finance.yahoo.com/quote/ALLE/","USD","Industrials","Security & Protection Services",12994470912,"USD","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","IT","company matched to selected lookup listing","","","https://finance.yahoo.com/quote/ALLE/","https://query2.finance.yahoo.com/v1/finance/search?q=ALLE&quotesCount=3&newsCount=0","https://finance.yahoo.com/quote/ALLE/",""
"ALLFUNDS GROUP PLC","Allfunds Group plc","ALLFG","Euronext Amsterdam","ALLFG.AS","https://finance.yahoo.com/quote/ALLFG.AS/","EUR","Financial Services","Asset Management",5406991872,"EUR","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","Finance","company matched to selected lookup listing","","","https://finance.yahoo.com/quote/ALLFG.AS/","https://query2.finance.yahoo.com/v1/finance/search?q=ALLFUNDS+GROUP+PLC&quotesCount=8&newsCount=0","https://finance.yahoo.com/quote/ALLFG.AS/",""
"ALLIANZ SE","Allianz SE","ALV","Xetra","ALV.DE","https://finance.yahoo.com/quote/ALV.DE/","EUR","Financial Services","Insurance - Diversified",168140000000,"EUR","2026-09-16","quote date shown by market-cap source","rounded source display","2026-09-16","Finance","company matched to selected lookup listing","","","https://finance.yahoo.com/quote/ALV.DE/","https://finance.yahoo.com/quote/ALV.DE/","https://stockanalysis.com/quote/etr/ALV/",""
"ALPES (COMPAGNIE)","Compagnie des Alpes SA","CDA","Euronext Paris","CDA.PA","https://stockanalysis.com/quote/epa/CDA/","EUR","Consumer Cyclical","Leisure",942790000,"EUR","2026-09-16","quote date shown by market-cap source","rounded source display","2026-09-16","Consommation discrétionnaire","company matched to selected lookup listing","","","https://query2.finance.yahoo.com/v8/finance/chart/CDA.PA?interval=1d&range=1d","https://query2.finance.yahoo.com/v1/finance/search?q=ALPES+%28COMPAGNIE%29&quotesCount=8&newsCount=0","https://stockanalysis.com/quote/epa/CDA/",""
"Alphabet","Alphabet Inc.","GOOG","Nasdaq Global Select Market","GOOG","https://finance.yahoo.com/quote/GOOG/","USD","Communication Services","Internet Content & Information",4150350577664,"USD","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","IT","share class not confirmed","Class C shares (GOOG) selected; Class A GOOGL also exists. Challenge share class not confirmed.","GOOGL","https://finance.yahoo.com/quote/GOOG/","https://finance.yahoo.com/quote/GOOG/","https://finance.yahoo.com/quote/GOOG/",""
"Altria Group","Altria Group, Inc.","MO","NYSE","MO","https://finance.yahoo.com/quote/MO/","USD","Consumer Defensive","Tobacco",117049040896,"USD","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","Biens de consommation courants","company matched to selected lookup listing","","","https://finance.yahoo.com/quote/MO/","https://finance.yahoo.com/quote/MO/","https://finance.yahoo.com/quote/MO/",""
"ALUMEXX N.V.","Alumexx N.V.","ALX","Euronext Amsterdam","ALX.AS","https://stockanalysis.com/quote/ams/ALX/","EUR","Consumer Cyclical","Internet Retail",20240000,"EUR","2026-09-16","retrieval date of daily exchange list","rounded source display","2026-09-16","Autres","company matched to selected lookup listing","","","https://query2.finance.yahoo.com/v8/finance/chart/ALX.AS?interval=1d&range=1d","https://query2.finance.yahoo.com/v1/finance/search?q=ALUMEXX+N.V.&quotesCount=8&newsCount=0","https://stockanalysis.com/list/euronext-amsterdam/",""
"Amazon.com","Amazon.com, Inc.","AMZN","Nasdaq Global Select Market","AMZN","https://finance.yahoo.com/quote/AMZN/","USD","Consumer Cyclical","Internet Retail",2653001613312,"USD","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","Consommation discrétionnaire","company matched to selected lookup listing","","","https://finance.yahoo.com/quote/AMZN/","https://finance.yahoo.com/quote/AMZN/","https://finance.yahoo.com/quote/AMZN/",""
"American Electric Power Company","American Electric Power Company, Inc.","AEP","Nasdaq Global Select Market","AEP","https://finance.yahoo.com/quote/AEP/","USD","Utilities","Utilities - Regulated Electric",65703321600,"USD","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","Services publics","company matched to selected lookup listing","","","https://finance.yahoo.com/quote/AEP/","https://finance.yahoo.com/quote/AEP/","https://finance.yahoo.com/quote/AEP/",""
"American Financial Group","American Financial Group, Inc.","AFG","NYSE","AFG","https://finance.yahoo.com/quote/AFG/","USD","Financial Services","Insurance - Property & Casualty",11940000000,"USD","2026-09-16","quote date shown by market-cap source","rounded source display","2026-09-16","Finance","company matched to selected lookup listing","","","https://finance.yahoo.com/quote/AFG/","https://finance.yahoo.com/quote/AFG/","https://stockanalysis.com/stocks/afg/",""
"American Tower Corp","American Tower Corporation","AMT","NYSE","AMT","https://finance.yahoo.com/quote/AMT/","USD","Real Estate","REIT - Specialty",82190696448,"USD","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","Immobilier","company matched to selected lookup listing","","","https://finance.yahoo.com/quote/AMT/","https://finance.yahoo.com/quote/AMT/","https://finance.yahoo.com/quote/AMT/",""
"AMG Critical Materials N.V.","AMG Critical Materials N.V.","AMG","Euronext Amsterdam","AMG.AS","https://finance.yahoo.com/quote/AMG.AS/","EUR","Basic Materials","Other Industrial Metals & Mining",1038402432,"EUR","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","Matériaux","company matched to selected lookup listing","","","https://finance.yahoo.com/quote/AMG.AS/","https://query2.finance.yahoo.com/v1/finance/search?q=AMG+Critical+Materials+N.V.&quotesCount=8&newsCount=0","https://finance.yahoo.com/quote/AMG.AS/",""
"Amgen","Amgen Inc.","AMGN","Nasdaq Global Select Market","AMGN","https://finance.yahoo.com/quote/AMGN/","USD","Healthcare","Drug Manufacturers - General",203466850304,"USD","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","Soins de santé","company matched to selected lookup listing","","","https://finance.yahoo.com/quote/AMGN/","https://finance.yahoo.com/quote/AMGN/","https://finance.yahoo.com/quote/AMGN/",""
"Amphenol Corp","Amphenol Corporation","APH","NYSE","APH","https://finance.yahoo.com/quote/APH/","USD","Technology","Electronic Components",190520606720,"USD","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","Industrie","company matched to selected lookup listing","","","https://finance.yahoo.com/quote/APH/","https://finance.yahoo.com/quote/APH/","https://finance.yahoo.com/quote/APH/",""
"Analog Devices","Analog Devices, Inc.","ADI","Nasdaq Global Select Market","ADI","https://finance.yahoo.com/quote/ADI/","USD","Technology","Semiconductors",175432089600,"USD","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","IT","company matched to selected lookup listing","","","https://finance.yahoo.com/quote/ADI/","https://finance.yahoo.com/quote/ADI/","https://finance.yahoo.com/quote/ADI/",""
"AO Smith Corp","A. O. Smith Corporation","AOS","NYSE","AOS","https://finance.yahoo.com/quote/AOS/","USD","Industrials","Specialty Industrial Machinery",7731838976,"USD","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","Matériaux","company matched to selected lookup listing","","","https://finance.yahoo.com/quote/AOS/","https://query2.finance.yahoo.com/v1/finance/search?q=AOS&quotesCount=3&newsCount=0","https://finance.yahoo.com/quote/AOS/",""
"Aon plc","Aon plc","AON","NYSE","AON","https://finance.yahoo.com/quote/AON/","USD","Financial Services","Insurance Brokers",63758544896,"USD","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","Finance","company matched to selected lookup listing","","","https://finance.yahoo.com/quote/AON/","https://finance.yahoo.com/quote/AON/","https://finance.yahoo.com/quote/AON/",""
"APERAM","Aperam S.A.","APAM","Euronext Amsterdam","APAM.AS","https://finance.yahoo.com/quote/APAM.AS/","EUR","Basic Materials","Steel",3350000000,"EUR","2026-09-16","retrieval date of daily exchange list","rounded source display","2026-09-16","Matériaux","company matched to selected lookup listing","","","https://finance.yahoo.com/quote/APAM.AS/","https://finance.yahoo.com/quote/APAM.AS/","https://stockanalysis.com/list/euronext-amsterdam/",""
"Apple","Apple Inc.","AAPL","Nasdaq Global Select Market","AAPL","https://finance.yahoo.com/quote/AAPL/","USD","Technology","Consumer Electronics",4851251544064,"USD","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","IT","company matched to selected lookup listing","","","https://finance.yahoo.com/quote/AAPL/","https://finance.yahoo.com/quote/AAPL/","https://finance.yahoo.com/quote/AAPL/",""
"Applied Materials","Applied Materials, Inc.","AMAT","Nasdaq Global Select Market","AMAT","https://finance.yahoo.com/quote/AMAT/","USD","Technology","Semiconductor Equipment & Materials",329644507136,"USD","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","IT","company matched to selected lookup listing","","","https://finance.yahoo.com/quote/AMAT/","https://finance.yahoo.com/quote/AMAT/","https://finance.yahoo.com/quote/AMAT/",""
"Applovin Corp","AppLovin Corporation","APP","Nasdaq Global Select Market","APP","https://finance.yahoo.com/quote/APP/","USD","Communication Services","Advertising Agencies",109704404992,"USD","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","Autres","company matched to selected lookup listing","","","https://finance.yahoo.com/quote/APP/","https://finance.yahoo.com/quote/APP/","https://finance.yahoo.com/quote/APP/",""
"ARCADIS","Arcadis NV","ARCAD","Euronext Amsterdam","ARCAD.AS","https://finance.yahoo.com/quote/ARCAD.AS/","EUR","Industrials","Engineering & Construction",3624671744,"EUR","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","Industrie","company matched to selected lookup listing","","","https://finance.yahoo.com/quote/ARCAD.AS/","https://query2.finance.yahoo.com/v1/finance/search?q=ARCADIS&quotesCount=8&newsCount=0","https://finance.yahoo.com/quote/ARCAD.AS/",""
"ARCELORMITTAL SA","ArcelorMittal S.A.","MT","Euronext Amsterdam","MT.AS","https://finance.yahoo.com/quote/MT.AS/","EUR","Basic Materials","Steel",48667918336,"EUR","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","Matériaux","company matched to selected lookup listing","","","https://finance.yahoo.com/quote/MT.AS/","https://finance.yahoo.com/quote/MT.AS/","https://finance.yahoo.com/quote/MT.AS/",""
"ARGENX SE","argenx SE","ARGX","Euronext Brussels","ARGX.BR","https://stockanalysis.com/quote/ebr/ARGX/","EUR","Healthcare","Biotechnology",53710000000,"EUR","2026-09-16","retrieval date of daily exchange list","rounded source display","2026-09-16","Soins de santé","company matched to selected lookup listing","","","https://query2.finance.yahoo.com/v8/finance/chart/ARGX.BR?interval=1d&range=1d","https://query2.finance.yahoo.com/v1/finance/search?q=ARGENX+SE&quotesCount=8&newsCount=0","https://stockanalysis.com/list/euronext-brussels/",""
"ARKEMA","Arkema S.A.","AKE","Euronext Paris","AKE.PA","https://finance.yahoo.com/quote/AKE.PA/","EUR","Basic Materials","Specialty Chemicals",4215031040,"EUR","2026-09-15","quote date shown by market-cap source","provider raw value","2026-09-16","Matériaux","company matched to selected lookup listing","","","https://finance.yahoo.com/quote/AKE.PA/","https://finance.yahoo.com/quote/AKE.PA/","https://finance.yahoo.com/quote/AKE.PA/",""
"Arm Holdings plc","Arm Holdings plc","ARM","Nasdaq Global Select Market","ARM","https://finance.yahoo.com/quote/ARM/","USD","Technology","Semiconductors",260570284032,"USD","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","Autres","company matched to selected lookup listing","US-listed American depositary shares selected.","","https://finance.yahoo.com/quote/ARM/","https://finance.yahoo.com/quote/ARM/","https://finance.yahoo.com/quote/ARM/",""
"ASCENCIO","Ascencio SA","ASCE","Euronext Brussels","ASCE.BR","https://finance.yahoo.com/quote/ASCE.BR/","EUR","Real Estate","REIT - Retail",363318080,"EUR","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","Immobilier","company matched to selected lookup listing","","","https://finance.yahoo.com/quote/ASCE.BR/","https://finance.yahoo.com/quote/ASCE.BR/","https://finance.yahoo.com/quote/ASCE.BR/",""
